group_id,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore,startTime,endTime,renewableTotal,renewableTotalWS,nonRenewableTotal,total,percentRenewable,percentRenewableWS
3137,114.5,328.25,511.0,,0.0,,14.0,12.0,1899.0,67.0,13.75,22.5,17.25,63.25,202005101700,202005101800,142.75,85.75,2919.75,3062.5,5,3
3138,115.75,312.25,526.25,,0.0,,14.0,12.0,1899.5,67.0,13.75,0.25,17.0,68.5,202005101800,202005101900,125.5,68.75,2920.75,3046.25,4,2
3139,114.75,364.75,534.5,,0.0,,14.0,12.0,1899.0,67.0,12.75,0.0,16.75,86.5,202005101900,202005102000,142.0,86.5,2980.0,3122.0,5,3
3140,116.25,339.0,529.5,,0.0,,14.0,12.0,1898.25,67.0,12.75,0.0,16.0,116.25,202005102000,202005102100,171.0,116.25,2950.0,3121.0,5,4
3141,116.0,307.25,495.25,,0.0,,14.0,12.0,1896.75,66.0,12.0,0.0,17.25,157.0,202005102100,202005102200,212.25,157.0,2881.25,3093.5,7,5
3142,116.5,276.0,429.5,,0.0,,14.0,12.0,1897.0,65.0,13.0,0.0,17.0,174.25,202005102200,202005102300,230.25,174.25,2784.0,3014.25,8,6
3143,117.25,275.25,417.25,,0.0,,14.0,12.0,1895.75,65.0,12.5,0.0,16.75,142.5,202005102300,202005110000,197.75,142.5,2770.5,2968.25,7,5
3144,117.0,252.25,422.0,,0.0,,14.0,12.0,1898.25,64.0,10.5,0.0,17.0,148.5,202005110000,202005110100,202.0,148.5,2753.5,2955.5,7,5
3145,91.5,200.25,416.25,,0.0,,14.0,12.0,1898.25,65.0,8.0,0.0,16.75,163.75,202005110100,202005110200,214.5,163.75,2671.25,2885.75,7,6
3146,89.0,205.5,387.5,,0.0,,14.0,12.0,1897.25,64.0,8.25,0.0,17.75,167.5,202005110200,202005110300,219.5,167.5,2643.25,2862.75,8,6
3147,93.5,200.25,331.75,,0.0,,14.0,12.0,1894.75,64.0,9.0,13.25,17.25,157.0,202005110300,202005110400,222.5,170.25,2584.25,2806.75,8,6
3148,109.0,252.5,394.75,,0.0,,13.75,12.0,1892.75,66.0,12.25,84.75,17.0,137.5,202005110400,202005110500,277.25,222.25,2715.0,2992.25,9,7
3149,119.25,379.0,462.0,,0.0,,14.0,12.0,1856.25,66.0,13.5,258.25,17.0,86.25,202005110500,202005110600,401.0,344.5,2882.5,3283.5,12,10
3150,115.75,401.5,651.75,,0.0,,14.0,12.0,1660.75,67.0,14.25,450.5,17.75,101.75,202005110600,202005110700,610.25,552.25,2896.75,3507.0,17,16
3151,115.0,393.75,737.5,,0.0,,14.0,12.0,1660.5,72.0,14.25,611.5,16.75,151.5,202005110700,202005110800,820.0,763.0,2978.75,3798.75,22,20
3152,117.5,418.0,738.0,,0.0,,14.0,12.0,1658.75,71.0,14.75,702.5,16.25,185.5,202005110800,202005110900,945.0,888.0,3003.25,3948.25,24,22
3153,113.0,420.0,782.75,,0.0,,14.0,11.5,1658.5,72.0,15.0,699.25,16.75,219.0,202005110900,202005111000,975.5,918.25,3046.25,4021.75,24,23
3154,118.5,420.5,844.25,,0.0,,14.0,10.0,1656.5,72.0,14.25,653.25,16.0,222.5,202005111000,202005111100,930.0,875.75,3111.75,4041.75,23,22
3155,116.5,418.5,706.0,,0.0,,14.0,10.0,1657.0,72.0,14.5,584.0,16.5,234.25,202005111100,202005111200,873.25,818.25,2970.0,3843.25,23,21
3156,114.25,419.0,715.75,,0.25,,14.25,11.5,1656.75,72.0,15.0,481.5,16.0,225.75,202005111200,202005111300,764.0,707.25,2978.0,3742.0,20,19
3157,112.0,413.0,551.25,,0.0,,14.0,13.5,1654.5,72.0,14.5,427.0,16.0,233.25,202005111300,202005111400,718.25,660.25,2802.75,3521.0,20,19
3158,109.75,417.25,522.0,,0.0,,14.0,14.0,1655.25,72.0,14.0,325.0,16.0,239.25,202005111400,202005111500,622.25,564.25,2776.25,3398.5,18,17
3159,113.25,400.0,477.75,,0.0,,14.0,14.0,1657.0,72.0,14.5,222.75,16.75,251.0,202005111500,202005111600,533.0,473.75,2720.0,3253.0,16,15
3160,112.25,392.25,474.25,,0.0,,14.0,14.0,1655.0,67.0,14.0,99.25,16.75,249.25,202005111600,202005111700,407.25,348.5,2700.75,3108.0,13,11
3161,112.75,385.25,479.75,,0.0,,14.0,14.75,1657.0,67.0,14.0,22.25,17.25,242.0,202005111700,202005111800,324.25,264.25,2701.75,3026.0,11,9
3162,113.0,395.75,468.25,,0.0,,14.0,15.0,1654.75,67.0,14.0,0.25,17.75,211.0,202005111800,202005111900,272.0,211.25,2698.75,2970.75,9,7
3163,116.5,386.0,464.5,,0.0,,12.75,15.0,1653.0,67.0,13.75,0.0,17.0,212.25,202005111900,202005112000,270.75,212.25,2687.0,2957.75,9,7
3164,116.75,329.25,451.5,,0.0,,14.0,15.0,1653.0,67.0,13.5,0.0,17.0,194.0,202005112000,202005112100,253.5,194.0,2617.5,2871.0,9,7
3165,112.25,324.0,456.75,,0.0,,13.0,15.0,1654.25,66.0,14.0,0.0,17.0,152.0,202005112100,202005112200,211.0,152.0,2613.25,2824.25,7,5
3166,109.5,327.25,473.75,,0.0,,13.25,15.0,1656.25,56.0,14.0,0.0,16.5,202.5,202005112200,202005112300,261.25,202.5,2622.75,2884.0,9,7
3167,111.0,351.25,461.75,,0.0,,13.0,15.0,1656.25,56.0,13.75,0.0,17.25,226.0,202005112300,202005120000,285.0,226.0,2636.25,2921.25,10,8
3168,112.25,319.25,463.0,,0.0,,13.0,15.0,1657.0,56.0,12.25,0.0,17.25,220.75,202005120000,202005120100,278.25,220.75,2607.5,2885.75,10,8
3169,89.25,311.75,472.0,,0.0,,13.0,15.0,1657.25,56.0,11.0,0.0,17.0,231.75,202005120100,202005120200,287.75,231.75,2586.25,2874.0,10,8
3170,87.25,291.75,446.5,,0.0,,13.0,15.0,1656.75,55.0,10.0,0.0,15.5,250.75,202005120200,202005120300,304.25,250.75,2537.25,2841.5,11,9
3171,92.25,277.25,424.75,,0.0,,14.0,15.0,1657.0,56.0,10.0,3.25,15.25,259.75,202005120300,202005120400,317.25,263.0,2507.25,2824.5,11,9
3172,104.5,356.0,499.25,,0.0,,14.0,15.0,1656.75,57.0,12.25,26.0,14.0,261.25,202005120400,202005120500,342.5,287.25,2673.5,3016.0,11,10
3173,113.5,400.0,503.25,,0.0,,15.0,12.5,1657.25,57.0,13.0,76.5,13.75,259.5,202005120500,202005120600,390.25,336.0,2731.0,3121.25,13,11
3174,113.0,393.25,508.0,,0.0,,15.0,2.0,1655.75,56.0,13.25,147.5,13.5,253.25,202005120600,202005120700,444.5,400.75,2726.0,3170.5,14,13
3175,105.5,403.0,504.0,,0.0,,15.0,2.0,1657.75,162.0,13.5,243.25,13.75,250.75,202005120700,202005120800,538.25,494.0,2832.25,3370.5,16,15
3176,108.0,403.25,505.75,,0.0,,15.0,2.0,1658.75,60.0,13.25,326.5,13.0,254.75,202005120800,202005120900,624.5,581.25,2735.75,3360.25,19,17
3177,110.25,395.75,504.0,,0.0,,15.0,4.0,1659.25,62.0,12.75,418.25,13.0,232.75,202005120900,202005121000,695.75,651.0,2731.25,3427.0,20,19
3178,115.5,404.75,515.0,,0.0,,15.0,8.0,1659.5,60.0,12.75,454.5,13.5,204.25,202005121000,202005121100,708.0,658.75,2754.75,3462.75,20,19
3179,116.25,396.75,494.5,,0.0,,15.0,12.0,1660.0,61.0,12.75,466.5,13.0,160.5,202005121100,202005121200,679.75,627.0,2728.5,3408.25,20,18
3180,118.0,369.25,485.25,,0.0,,15.0,14.25,1661.0,63.0,14.0,485.25,12.75,133.75,202005121200,202005121300,675.0,619.0,2696.5,3371.5,20,18
3181,117.25,381.25,482.25,,0.0,,15.0,15.0,1660.5,61.0,14.75,478.75,12.75,107.0,202005121300,202005121400,643.25,585.75,2702.25,3345.5,19,18
3182,110.0,360.25,366.25,,0.0,,15.0,15.5,1660.75,61.0,15.0,443.25,13.25,89.25,202005121400,202005121500,591.25,532.5,2558.25,3149.5,19,17
3183,114.75,328.75,470.25,,,,14.5,16.0,1662.5,58.0,15.5,309.75,14.25,63.25,202005121500,202005121600,433.25,373.0,2634.25,3067.5,14,12
3184,116.75,348.75,430.0,,0.0,,14.0,16.0,1662.0,55.0,15.5,121.0,15.0,46.75,202005121600,202005121700,228.25,167.75,2612.5,2840.75,8,6
